"id","created_at","value","purchase_id"
1,2019-01-01 00:00:00.000,172692,43
2,2019-01-05 00:00:00.000,177194,36
3,2019-01-09 00:00:00.000,109513,30
4,2019-01-13 00:00:00.000,164911,30
5,2019-01-17 00:00:00.000,198872,39
6,2019-01-21 00:00:00.000,184853,31
7,2019-01-25 00:00:00.000,186817,26
8,2019-01-29 00:00:00.000,137784,22
9,2019-02-02 00:00:00.000,140032,25
10,2019-02-06 00:00:00.000,116948,43
11,2019-02-10 00:00:00.000,162515,25
12,2019-02-14 00:00:00.000,114256,12
13,2019-02-18 00:00:00.000,197465,48
14,2019-02-22 00:00:00.000,120741,20
15,2019-02-26 00:00:00.000,100074,49
16,2019-03-02 00:00:00.000,157548,19
17,2019-03-06 00:00:00.000,105506,16
18,2019-03-10 00:00:00.000,189351,46
19,2019-03-14 00:00:00.000,191231,29
20,2019-03-18 00:00:00.000,120575,44
21,2019-03-22 00:00:00.000,151688,47
22,2019-03-26 00:00:00.000,102327,18
23,2019-03-30 00:00:00.000,156147,25
